TAC,manufacturer,model,aka,os,year,lte
86865601,Amoi Technology Co,AMOI XIAXIN N821,,Android,2012,0
86865700,Tongxin Technology Hong,GBEST M12,,Proprietary,,0
86865701,Shenzhen Zhixin Hualian,JASON ZK6300,,Android,2012,0
86865800,Gfive International,GFIVE E650,,Proprietary,,0
86865801,Guangdong Oppo Mobile,OPPO OPPO R601,,Android,2012,0
86865900,Shenzhen Wangdechen Electronic,CHENGHONG CHENGHONG W95,,Proprietary,,0
86865901,Wasam Technology (Shenzhen),Best sonny Best sonny T898,,Android,2012,0
86866000,Dalian Daxian Pantech,SHR960,,Proprietary,,0
86866001,Shenzhen Ju Sheng,GUSUN JY703,,Android,2012,0
86866100,Dongguan Yidalong Communication,D600,,Proprietary,,0
86866101,Qingdao Haier Telecom,Haier HW,Haier HW-W820,Android,2012,0
86866200,Hunan Zhongyi Electronics,A5,A5-A,Proprietary,,0
86866201,Desay Electronics (Huizhou),DESAY DESAY TS1018,,Android,2012,0
86866300,Zte Corporation,ZTE ZTE,ZTE ZTE-G S202,Proprietary,,0
86866301,Shenzhen Kechaoda Technologies,kechao K,kechao K&C-W808,Android,2012,0
86866400,Tct Mobile Limited,ALCATEL one touch X520D,,Proprietary,,0
86866401,Shenzhen Kechaoda Technologies,kechao K,kechao K&C-W809,Android,2012,0
86866500,Shenzhen Weekly News,TENY TY005,,Proprietary,,0
86866501,Dongguan Yidalong Communication,PEACE GALAZY S4,,Android,2012,0
86866600,Zte Corporation,K3770,K3770-Z,Proprietary,,0
86866601,Tsd Technologies (Shenzhen),TSD A002,,Android,2012,0
86866700,Shenzhen Century Wishway,Wishway E505,,Proprietary,,0
86866701,Tsd Technologies (Shenzhen),TSD A003,,Android,2012,0
86866800,Xiamen 35 Com,35phone S358,,Proprietary,,0
86866801,Tsd Technologies (Shenzhen),TSD A004,,Android,2012,0
86866900,Zte Corporation,ZTE ZTE,ZTE ZTE-G S202,Proprietary,,0
86866901,Shenzhen New Di,lingwin U980,,Android,2012,0
86867000,Shenzhen Meishengtong Technology,mestone MA520,,Proprietary,,0
86867001,Shenzhen Guowei Electronics,SunCorp SGW99,,Android,2012,0
86867101,Shenzhen Century Wishway,Wishway Wishway V626,,Android,2012,0
86867200,Huawei,E153,,Proprietary,,0
86867201,Uniscope Technologies (Qidong),Uniscope US910T,,Android,2012,0
86867300,Huawei,E173,,Proprietary,,0
86867301,Shenzhen Smartcell Communication,U9 U9 S3,,Android,2012,0
86867400,Shenzhen Jielai Technology,SAINO SAINO F600,,Proprietary,,0
86867401,Shenzhen Yimo Electronic,Chenovo Chenovo M2,,Android,2012,0
86867500,Huizhou City Jiayuan,cayon cayon H1188,,Proprietary,,0
86867501,Shanghai Feixun Communication,FeiXun K308t,,Android,2012,0
86867600,Qingdao Haier Telecom,HG,HG-M720,Proprietary,,0
86867601,Senyang Electronic Science,Hellocity L900,,Android,2012,0
86867700,Shenzhen Konka Telecommunications,W200,,Proprietary,,0
86867701,Zte Corporation,ZTE ZTE  U289,,Proprietary,2012,0
86867800,Shenzhen Sang Fei,W725,,Proprietary,,0
86867801,Shenzhen Kenxinda Technology,KENXINDA G5,,Android,2012,0
86867900,Shenzhen Kong Profit,KPT KPT K1210,,Proprietary,,0
86867901,Shenzhen Kenxinda Technology,KENXINDA P680,,Android,2012,0
86868000,Shenzhen Newway Digital,EGLTEL NG Q2,,Proprietary,,0
86868001,Zte Corporation,ZTE MF61,,Proprietary,2012,0
86868100,Shenzhen Sunup Communication,HO1,,Proprietary,,0
86868101,Qingdao Hisense Communications,Hisense HS,Hisense HS-T950,Android,2012,0
86868200,Shenzhen Dlan Communication,DLAN DLAN K500,,Proprietary,,0
86868201,Shenzhen Tripartite Confrontation,SANPOLON A5,,Android,2012,0
86868300,Shenzhen Rir Technology,S55,,Proprietary,,0
86868301,Qingdao Haier Telecom,Haier HT,Haier HT-I710,Android,2012,0
86868400,Shenzhen Newman-Anpu Technology,Newman F26,,Proprietary,,0
